Campaign,Budget,Impressions,Clicks,Spend,Orders,Sales,CTR,CPC,Conversion_Rate,ROAS,ACOS,Performance_Label
Campaign 322,10.0,1200.0,6.0,5.6,1.0,16.47,0.5,0.93,16.67,2.9411,34.0,Optimize
Campaign 37,10.0,1800.0,9.0,5.6,1.0,17.45,0.5,0.62,11.11,3.1161,32.09,Scale
Campaign 114,34.56,1800.0,9.0,5.56,1.0,17.6,0.5,0.62,11.11,3.1655,31.59,Scale
Campaign 86,280.36,1200.0,6.0,5.56,1.0,17.78,0.5,0.93,16.67,3.1978,31.27,Scale
Campaign 77,150.0,2800.0,14.0,5.53,1.0,16.09,0.5,0.4,7.14,2.9096,34.37,Optimize
Campaign 193,8.75,1800.0,9.0,5.53,1.0,13.66,0.5,0.61,11.11,2.4702,40.48,Optimize
Campaign 277,100.0,1000.0,5.0,5.48,1.0,24.31,0.5,1.1,20.0,4.4361,22.54,Scale
Campaign 301,10.0,3000.0,15.0,5.46,1.0,9.86,0.5,0.36,6.67,1.8059,55.38,Optimize
Campaign 58,15.0,1400.0,7.0,5.42,1.0,16.5,0.5,0.77,14.29,3.0443,32.85,Scale
Campaign 97,35.0,1600.0,8.0,5.41,1.0,17.85,0.5,0.68,12.5,3.2994,30.31,Scale
Campaign 345,15.0,3600.0,18.0,5.29,1.0,15.21,0.5,0.29,5.56,2.8752,34.78,Optimize
Campaign 113,89.58,1000.0,5.0,5.16,1.0,15.59,0.5,1.03,20.0,3.0213,33.1,Scale
Campaign 245,30.0,1000.0,5.0,5.13,1.0,13.09,0.5,1.03,20.0,2.5517,39.19,Optimize
Campaign 85,15.0,3200.0,16.0,5.07,1.0,11.11,0.5,0.32,6.25,2.1913,45.63,Optimize
Campaign 247,100.0,2600.0,13.0,4.93,1.0,13.9,0.5,0.38,7.69,2.8195,35.47,Optimize
Campaign 53,12.0,1000.0,5.0,4.9,1.0,12.51,0.5,0.98,20.0,2.5531,39.17,Optimize
Campaign 119,25.0,2600.0,13.0,4.76,1.0,13.89,0.5,0.37,7.69,2.9181,34.27,Optimize
Campaign 134,15.0,1400.0,7.0,4.62,1.0,14.02,0.5,0.66,14.29,3.0346,32.95,Scale
Campaign 35,15.0,1000.0,5.0,4.5,1.0,9.94,0.5,0.9,20.0,2.2089,45.27,Optimize
Campaign 213,130.0,2600.0,13.0,4.46,1.0,13.74,0.5,0.34,7.69,3.0807,32.46,Scale
Campaign 248,100.0,1000.0,5.0,4.44,1.0,16.77,0.5,0.89,20.0,3.777,26.48,Scale
Campaign 153,10.0,3600.0,18.0,4.28,1.0,18.41,0.5,0.24,5.56,4.3014,23.25,Scale
Campaign 63,130.0,1600.0,8.0,4.27,1.0,9.39,0.5,0.53,12.5,2.1991,45.47,Optimize
Campaign 17,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 167,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 105,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 302,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 230,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 225,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 211,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 281,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 256,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 288,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 180,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 271,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 239,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 155,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 173,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 273,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 175,15.0,31.0,3.0,0.0,0.0,0.0,9.68,0.0,0.0,0.0,0.0,Pause
Campaign 80,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 170,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 24,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 89,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 242,51.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 327,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 78,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 46,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 5,30.0,14.0,3.0,0.0,0.0,0.0,21.43,0.0,0.0,0.0,0.0,Pause
Campaign 229,130.0,11.0,2.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,Pause
Campaign 66,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 300,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 335,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 64,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 218,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 79,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 299,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 38,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 131,100.0,29.0,2.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,Pause
Campaign 332,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 159,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 65,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 160,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 26,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 255,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 138,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 341,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 19,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 93,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 102,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 157,20.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 49,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 282,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 217,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 231,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 22,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 104,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 59,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 186,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 208,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 90,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 286,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 201,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 27,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 289,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 162,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 206,62.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 156,25.0,18.0,3.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,Pause
Campaign 262,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 74,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 48,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 165,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 253,100.0,33.0,2.0,0.0,0.0,0.0,6.06,0.0,0.0,0.0,0.0,Pause
Campaign 71,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 232,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 92,43.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 163,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 291,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 191,51.84,26.0,2.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,Pause
Campaign 337,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 293,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 203,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 145,20.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 192,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 215,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
Campaign 314,75.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause
